prefix	MIM_number	preferred_title	alternative_title	symbols	neo4j_id
NULL	109540	B-CELL GROWTH FACTOR; BCGF	B-CELL GROWTH FACTOR 1; BCGF1		826766
Percent	109543	LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2	CLLS2;; B-CELL MALIGNANCY, LOW-GRADE;; DISRUPTED IN B-CELL MALIGNANCY; DBM;; LEUKEMIA, CHRONIC LYMPHOCYTIC, B-CELL; BCLL		849560
Percent	109650	BEHCET SYNDROME	BEHCET DISEASE; BD		826502
Percent	109660	BETA-AMINO ACIDS, RENAL TRANSPORT OF; AABT	TAURINE RENAL REABSORPTION		826490
Percent	109720	BILIARY CIRRHOSIS, PRIMARY, 1; PBC1	PBC		820569
Number Sign	109730	AORTIC VALVE DISEASE 1; AOVD1	AORTIC VALVE DISEASE;; BICUSPID AORTIC VALVE; BAV;; AORTIC VALVE, BICUSPID;; AORTIC VALVE, CALCIFICATION OF;; AORTIC STENOSIS, CALCIFIC		506839
NULL	109740	BIFID NOSE, AUTOSOMAL DOMINANT			826158
Number Sign	109800	BLADDER CANCER			525606
NULL	109820	BLADDER DIVERTICULUM			825814
NULL	109900	BLEPHAROCHALASIS AND DOUBLE LIP	ASCHER SYNDROME		825433
NULL	110000	BLEPHAROCHALASIS, SUPERIOR			846841
NULL	110050	BLEPHARONASOFACIAL MALFORMATION SYNDROME	PASHAYAN SYNDROME		838376
Number Sign	110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES		BPES, TYPE I, INCLUDED;; BPES, TYPE II, INCLUDED;; BPES WITH OVARIAN FAILURE, INCLUDED;; BPES WITHOUT OVARIAN FAILURE, INCLUDED;; BPES WITH DUANE RETRACTION SYNDROME, INCLUDED;; BPES, TYPE I, AUTOSOMAL RECESSIVE, INCLUDED	6346
NULL	110150	BLEPHAROPTOSIS, MYOPIA, AND ECTOPIA LENTIS			846457
Percent	112200	BLUE RUBBER BLEB NEVUS	BEAN SYNDROME		828669
Number Sign	112240	COLE-CARPENTER SYNDROME 1; CLCRP1	BONE FRAGILITY WITH CRANIOSYNOSTOSIS, OCULAR PROPTOSIS, HYDROCEPHALUS, AND DISTINCTIVE FACIAL FEATURES		510455
Number Sign	112250	DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA; DMSMFH	BONE DYSPLASIA WITH MEDULLARY FIBROSARCOMA; BDMF;; BONE DYSPLASIA WITH MALIGNANT FIBROUS HISTIOCYTOMA;; MYOPATHY, LIMB-GIRDLE, WITH BONE FRAGILITY		70646
NULL	112270	BONE PAIN, PERIODIC			828604
Percent	112300	BOOK SYNDROME	PHC SYNDROME		828428
Number Sign	112310	BOOMERANG DYSPLASIA			6276
Percent	112350	WEISMANN-NETTER SYNDROME; WNS	BOWING OF LEGS, ANTERIOR, WITH DWARFISM;; TOXOPACHYOSTEOSE DIAPHYSAIRE TIBIO-PERONIERE		828367
NULL	112370	BRACHMANN-DE LANGE-LIKE FACIAL CHANGES WITH MICROCEPHALY, METATARSUS ADDUCTUS, AND DEVELOPMENTAL DELAY			828352
Number Sign	112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB	BRACHYDACTYLY WITH HYPERTENSION;; BRACHYDACTYLY, TYPE E, WITH SHORT STATURE AND HYPERTENSION;; BILGINTURAN SYNDROME		497525
NULL	112430	LONG-THUMB BRACHYDACTYLY SYNDROME	BRACHYDACTYLY, LONG-THUMB TYPE		828142
Percent	112440	BRACHYDACTYLY, COMBINED B AND E TYPES	PITT-WILLIAMS BRACHYDACTYLY;; BRACHYDACTYLY, BALLARD TYPE		850313
NULL	112450	BRACHYDACTYLY, PREAXIAL, WITH HALLUX VARUS AND THUMB ABDUCTION	CHRISTIAN BRACHYDACTYLY		828130
Number Sign	112500	BRACHYDACTYLY, TYPE A1; BDA1	FARABEE-TYPE BRACHYDACTYLY		525069
Number Sign	112600	BRACHYDACTYLY, TYPE A2; BDA2	BRACHYMESOPHALANGY II;; MOHR-WRIEDT TYPE BRACHYDACTYLY		497066
Percent	112700	BRACHYDACTYLY, TYPE A3; BDA3	BRACHYMESOPHALANGY V;; BRACHYDACTYLY-CLINODACTYLY		827582
Percent	112800	BRACHYDACTYLY, TYPE A4; BDA4	BRACHYMESOPHALANGY II AND V;; TEMTAMY TYPE BRACHYDACTYLY		827361
NULL	112910	OSEBOLD-REMONDINI SYNDROME	BRACHYMESOPHALANGY WITH MESOMELIC SHORT LIMBS AND CARPAL AND TARSAL OSSEOUS ABNORMALITIES;; BRACHYDACTYLY, TYPE A6; BDA6		827133
Number Sign	113000	BRACHYDACTYLY, TYPE B1; BDB1	BRACHYDACTYLY, TYPE B; BDB		535425
Number Sign	113100	BRACHYDACTYLY, TYPE C; BDC	BRACHYDACTYLY, HAWS TYPE		539249
Number Sign	113200	BRACHYDACTYLY, TYPE D; BDD	STUB THUMB		506365
Number Sign	113300	BRACHYDACTYLY, TYPE E1; BDE1	BRACHYDACTYLY, TYPE E; BDE		516118
NULL	113301	BRACHYDACTYLY, TYPE E, WITH ATRIAL SEPTAL DEFECT, TYPE II			587994
NULL	113310	BRACHYDACTYLY-ECTRODACTYLY WITH FIBULAR APLASIA OR HYPOPLASIA			616784
NULL	113400	BRACHYDACTYLY-NYSTAGMUS-CEREBELLAR ATAXIA			850109
NULL	113450	BRACHYDACTYLY-DISTAL SYMPHALANGISM SYNDROME			850072
NULL	113470	BRACHYMESOMELIA-RENAL SYNDROME			850061
NULL	113475	BRACHYMETATARSUS IV	METATARSUS IV, SHORT;; TOE, FOURTH, SHORT		850059
NULL	113477	BRACHYMORPHISM-ONYCHODYSPLASIA-DYSPHALANGISM SYNDROME	BOD SYNDROME		828277
NULL	113480	BRACHYTELEPHALANGY WITH CHARACTERISTIC FACIES AND KALLMANN SYNDROME			850478
Number Sign	113500	BRACHYOLMIA TYPE 3; BCYM3	BRACHYOLMIA, AUTOSOMAL DOMINANT;; BRACHYRACHIA		7969
NULL	113600	BRANCHIAL CLEFT ANOMALIES		BRANCHIAL CYSTS, INCLUDED	849620
NULL	113610	BRANCHIAL MYOCLONUS WITH SPASTIC PARAPARESIS AND CEREBELLAR ATAXIA			833624
Number Sign	113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS	BOF SYNDROME;; BRANCHIAL CLEFTS WITH CHARACTERISTIC FACIES, GROWTH RETARDATION, IMPERFORATE NASOLACRIMAL DUCT, AND PREMATURE AGING;; HEMANGIOMATOUS BRANCHIAL CLEFTS-LIP PSEUDOCLEFT SYNDROME;; LIP PSEUDOCLEFT-HEMANGIOMATOUS BRANCHIAL CYST SYNDROME		6317
Number Sign	113650	BRANCHIOOTORENAL SYNDROME 1; BOR1	BRANCHIOOTORENAL DYSPLASIA;; MELNICK-FRASER SYNDROME		6256
Percent	113670	HYPERTROPHY OF THE BREAST, JUVENILE; JHB	GIGANTOMASTIA, JUVENILE		849574
Percent	113700	BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 1; BNAH1	AMASTIA;; ATHELIA;; AMAZIA		820780
Number Sign	113800	EPIDERMOLYTIC HYPERKERATOSIS; EHK	BULLOUS ERYTHRODERMA ICHTHYOSIFORMIS CONGENITA OF BROCQ;; BULLOUS CONGENITAL ICHTHYOSIFORM ERYTHRODERMA; BCIE;; BULLOUS ICHTHYOSIFORM ERYTHRODERMA; BIE;; EPIDERMOLYTIC ICHTHYOSIS	EPIDERMOLYTIC HYPERKERATOSIS, LATE-ONSET, INCLUDED	538059
Number Sign	113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	PFHBIA;; HEART BLOCK, PROGRESSIVE FAMILIAL, TYPE I; PFHBI;; LENEGRE-LEV DISEASE;; CARDIAC CONDUCTION DEFECT, PROGRESSIVE; PCCD;; BUNDLE BRANCH BLOCK;; HEREDITARY BUNDLE BRANCH SYSTEM DEFECT; HBBD	HEART BLOCK, NONPROGRESSIVE, INCLUDED;; CARDIAC CONDUCTION DEFECT, NONPROGRESSIVE, INCLUDED	509051
Percent	113950	BUNDLE BRANCH BLOCK, FAMILIAL ISOLATED COMPLETE RIGHT			848612
NULL	113960	BUTYRYLESTERASE 1			848607
Number Sign	113970	BURKITT LYMPHOMA; BL			70426
Number Sign	114000	CAFFEY DISEASE	INFANTILE CORTICAL HYPEROSTOSIS		6650
NULL	114030	CAFE-AU-LAIT SPOTS, MULTIPLE			842269
NULL	114065	CALCIFIC AORTIC DISEASE WITH IMMUNOLOGIC ABNORMALITIES, FAMILIAL			842217
Percent	114100	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, CHILDHOOD-ONSET	IBGC, CHILDHOOD-ONSET;; STRIOPALLIDODENTATE CALCINOSIS, BILATERAL, CHILDHOOD-ONSET;; CEREBRAL CALCIFICATION, NONARTERIOSCLEROTIC, IDIOPATHIC, CHILDHOOD-ONSET		841988
Percent	114140	CALLOSITIES, HEREDITARY PAINFUL	CALLOSITIES, PAINFUL PLANTAR		841941
Percent	114150	CAMPTOBRACHYDACTYLY			836226
Percent	114200	CAMPTODACTYLY 1; CAMPD1	CAMPTODACTYLY AND KNUCKLE PADS	STREBLODACTYLY, INCLUDED	841725
Number Sign	114290	CAMPOMELIC DYSPLASIA	CMPD;; CMD1; CMPD1;; CMPD1/SRA1	CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL, INCLUDED;; ACAMPOMELIC CAMPOMELIC DYSPLASIA, INCLUDED;; ACAMPOMELIC CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL, INCLUDED;; CAMPTOMELIC DYSPLASIA, INCLUDED	7672
Number Sign	114300	ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3	GORDON SYNDROME;; ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA;; CAMPTODACTYLY, CLEFT PALATE, AND CLUBFOOT		534522
NULL	114450	CANCER, FAMILIAL, WITH IN VITRO RADIORESISTANCE			841131
Number Sign	114480	BREAST CANCER	BREAST CANCER, FAMILIAL	BREAST CANCER, FAMILIAL MALE, INCLUDED	6641
Number Sign	114500	COLORECTAL CANCER; CRC	COLON CANCER		6246
Number Sign	114550	HEPATOCELLULAR CARCINOMA	HCC;; CANCER, HEPATOCELLULAR;; LIVER CANCER;; LIVER CELL CARCINOMA; LCC;; HEPATOMA	HEPATOBLASTOMA, INCLUDED;; HEPATOBLASTOMA CAUSED BY SOMATIC MUTATION, INCLUDED	507777
Percent	114580	CANDIDIASIS, FAMILIAL, 1; CANDF1	CANDIDIASIS, FAMILIAL CHRONIC MUCOCUTANEOUS, AUTOSOMAL DOMINANT, WITH OR WITHOUT THYROID DISEASE;; CMCT		820231
Percent	114600	CANINE TEETH, ABSENCE OF UPPER PERMANENT			840705
NULL	114620	CRANIOFACIOFRONTODIGITAL SYNDROME	CANTU CRANIOFACIOFRONTODIGITAL SYNDROME		840695
NULL	114650	CAR FACTOR DEFICIENCY			840672
NULL	114700	CARABELLI ANOMALY OF MAXILLARY MOLAR TEETH			840817
Number Sign	114900	CARCINOID TUMORS, INTESTINAL			537803
NULL	115000	CARDIAC ARRHYTHMIA	EXTRASYSTOLES		833138
Number Sign	115080	CARDIAC CONDUCTION DEFECT		SUDDEN CARDIAC DEATH, INCLUDED; SCD, INCLUDED;; FAMILIAL SUDDEN DEATH, INCLUDED	530372
Number Sign	115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1	CFC SYNDROME;; CFCS		7655
Number Sign	115195	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2; CMH2			7851
Number Sign	115196	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3; CMH3			7854
Number Sign	115197	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4		CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4, SUSCEPTIBILITY TO, INCLUDED	7862
Number Sign	115200	CARDIOMYOPATHY, DILATED, 1A; CMD1A	CARDIOMYOPATHY, DILATED, WITH CONDUCTION DEFECT 1; CDCD1;; CARDIOMYOPATHY, IDIOPATHIC DILATED;; CARDIOMYOPATHY, FAMILIAL IDIOPATHIC;; CARDIOMYOPATHY, CONGESTIVE		7513
Number Sign	115210	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1; RCM1	RCM		534896
NULL	115250	COLLAGENOMA, FAMILIAL CUTANEOUS			832511
Number Sign	115300	HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT		CAROTENOIDS, PLASMA LEVEL OF, QUANTITATIVE TRAIT LOCUS 1, INCLUDED	525718
Number Sign	115310	PARAGANGLIOMAS 4; PGL4	CAROTID BODY TUMORS AND MULTIPLE EXTRAADRENAL PHEOCHROMOCYTOMAS;; PHEOCHROMOCYTOMA, EXTRAADRENAL, AND CERVICAL PARAGANGLIOMA;; PARAGANGLIOMAS, HEREDITARY EXTRAADRENAL;; PHEOCHROMOCYTOMA, FAMILIAL EXTRAADRENAL;; PARAGANGLIOMA, FAMILIAL MALIGNANT		8115
NULL	115400	CARPAL DISPLACEMENT	CARPAL BOSSING		832066
Number Sign	115430	CARPAL TUNNEL SYNDROME; CTS1	CTS;; AMYOTROPHY, THENAR, OF CARPAL ORIGIN		517176
Number Sign	115470	CAT EYE SYNDROME; CES	SCHMID-FRACCARO SYNDROME;; CHROMOSOME 22 PARTIAL TETRASOMY;; INV DUP(22)(q11)		832026
NULL	115645	CATARACT, ABERRANT ORAL FRENULA, AND GROWTH RETARDATION			831512
Percent	115650	CATARACT 32, MULTIPLE TYPES; CTRCT32	CATARACT, ANTERIOR POLAR, 1; CTAA1;; CATARACT, ANTERIOR POLAR; CAP;; CATARACT, POSTERIOR POLAR, 5; CTPP5		820886
Percent	115660	CATARACT 7; CTRCT7	CATARACT 7, CERULEAN TYPE;; CATARACT, CONGENITAL, CERULEAN TYPE, 1; CCA1		820885
Percent	115665	CATARACT 8, MULTIPLE TYPES; CTRCT8	CATARACT, CONGENITAL, VOLKMANN TYPE; CCV		820922
Number Sign	115700	CATARACT 4, MULTIPLE TYPES; CTRCT4	CATARACT 4, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;; CATARACT, CRYSTALLINE ACULEIFORM; CACA;; CATARACT, CONGENITAL, CERULEAN TYPE, 3; CCA3;; CATARACT, NONNUCLEAR POLYMORPHIC CONGENITAL; PCC;; CATARACT, PUNCTATE, PROGRESSIVE JUVENILE-ONSET		524665
Percent	115800	CATARACT 29; CTRCT29	CATARACT 29, CORALLIFORM		820831
Number Sign	115900	CATARACT 42; CTRCT42			523648
Number Sign	116100	CATARACT 20, MULTIPLE TYPES; CTRCT20			531658
Number Sign	116200	CATARACT 1, MULTIPLE TYPES; CTRCT1	CATARACT 1, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;; CATARACT, DUFFY-LINKED;; CATARACT, ZONULAR PULVERULENT, 1; CZP1; CZP; CAE1		534550
Number Sign	116300	CATARACT 30, MULTIPLE TYPES; CTRCT30			530146
Number Sign	116400	CATARACT 41; CTRCT41	CATARACT 41, CONGENITAL NUCLEAR TYPE		536355
Number Sign	116600	CATARACT 6, MULTIPLE TYPES; CTRCT6	CATARACT, POSTERIOR POLAR, 1; CTPP1;; CATARACT, AGE-RELATED CORTICAL, 2; ARCC2		511193
Number Sign	116700	CATARACT 13 WITH ADULT i PHENOTYPE; CTRCT13			500743
Number Sign	116800	CATARACT 5, MULTIPLE TYPES; CTRCT5	CATARACT, LAMELLAR;; CATARACT, MARNER TYPE; CAM; CTM		533347
Number Sign	116860	CEREBRAL CAVERNOUS MALFORMATIONS; CCM	CAVERNOUS ANGIOMA, FAMILIAL;; CAVERNOUS ANGIOMATOUS MALFORMATIONS; CAM;; CEREBRAL CAPILLARY MALFORMATIONS	CEREBRAL CAVERNOUS MALFORMATIONS 1, INCLUDED; CCM1, INCLUDED;; CAVERNOUS MALFORMATIONS OF CNS AND RETINA, INCLUDED;; HYPERKERATOTIC CUTANEOUS CAPILLARY-VENOUS MALFORMATIONS ASSOCIATED WITH CEREBRAL CAPILLARY MALFORMATIONS, INCLUDED	7242
NULL	116870	CELIAC ARTERY STENOSIS FROM COMPRESSION BY MEDIAN ARCUATE LIGAMENT OF DIAPHRAGM			822461
Number Sign	116920	LEUKOCYTE ADHESION DEFICIENCY, TYPE I; LAD	LAD1;; LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN 1 IMMUNODEFICIENCY;; LFA1 IMMUNODEFICIENCY		507931
Number Sign	117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	CCO	MINICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED;; MULTICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED;; MULTIMINICORE DISEASE, MODERATE, WITH HAND INVOLVEMENT, INCLUDED;; NEUROMUSCULAR DISEASE, CONGENITAL, WITH UNIFORM TYPE 1 FIBER, INCLUDED; CNMDU1, INCLUDED	8453
Percent	117100	CENTRALOPATHIC EPILEPSY	CENTROTEMPORAL EPILEPSY; ECT;; TEMPORAL-CENTRAL FOCAL EPILEPSY;; BENIGN ROLANDIC EPILEPSY;; BENIGN EPILEPSY OF CHILDHOOD WITH CENTROTEMPORAL SPIKES; BECTS		634283
Number Sign	117210	SPINOCEREBELLAR ATAXIA 31; SCA31	SPINOCEREBELLAR ATAXIA, 16q22-LINKED		538796
Number Sign	117300	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 2	DEMENTIA, FAMILIAL DANISH; FDD;; FAMILIAL DANISH DEMENTIA;; CEREBELLAR ATAXIA, CATARACT, DEAFNESS, AND DEMENTIA OR PSYCHOSIS;; HEREDOPATHIA OPHTHALMOOTOENCEPHALICA; HOOE		534501
Number Sign	117360	SPINOCEREBELLAR ATAXIA 29; SCA29	CEREBELLAR ATAXIA, CONGENITAL NONPROGRESSIVE, AUTOSOMAL DOMINANT; CNPCA;; CEREBELLAR VERMIS APLASIA;; APLASIA OF CEREBELLAR VERMIS; ACV		624762
Number Sign	117550	SOTOS SYNDROME 1; SOTOS1	SOTOS SYNDROME;; CEREBRAL GIGANTISM;; CHROMOSOME 5q35 DELETION SYNDROME		6585
NULL	117600	CEREBRAL SARCOMA			844501
Number Sign	117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS	RIB GAP DEFECTS WITH MICROGNATHIA		497117
NULL	117850	CERVICAL HYPERTRICHOSIS WITH UNDERLYING KYPHOSCOLIOSIS	HYPERTRICHOSIS, POSTERIOR CERVICAL, WITH UNDERLYING KYPHOSCOLIOSIS		843950
NULL	117900	CERVICAL RIB			844149
NULL	118000	CERVICAL VERTEBRAL BRIDGE			837087
NULL	118005	CERVICAL VERTEBRAL DYSPLASIA			840976
Number Sign	118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT; KFS1	KFS;; CERVICAL VERTEBRAL FUSION, AUTOSOMAL DOMINANT		7290
Number Sign	118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B	HEREDITARY MOTOR AND SENSORY NEUROPATHY I; HMSN I;; HEREDITARY MOTOR AND SENSORY NEUROPATHY IB; HMSN IB;; HMSN1;; HMSN1B;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 1B;; CHARCOT-MARIE-TOOTH DISEASE, SLOW NERVE CONDUCTION TYPE, LINKED TO DUFFY;; PERONEAL MUSCULAR ATROPHY;; CHARCOT-MARIE-TOOTH DISEASE, AUTOSOMAL DOMINANT, WITH FOCALLY FOLDED MYELIN SHEATHS, TYPE 1B		7899
Number Sign	118210	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1; CMT2A1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2A1;; CHARCOT-MARIE-TOOTH DISEASE, NEURONAL, TYPE 2A1;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2A1;; HEREDITARY MOTOR AND SENSORY NEUROPATHY IIA1;; HMSN IIA1;; HMSN2A1		511244
Number Sign	118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A	HEREDITARY MOTOR AND SENSORY NEUROPATHY IA; HMSN IA;; HMSN1A;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 1A;; CHARCOT-MARIE-TOOTH DISEASE, AUTOSOMAL DOMINANT, WITH FOCALLY FOLDED MYELIN SHEATHS, TYPE 1A		7853
NULL	118230	CHARCOT-MARIE-TOOTH DISEASE, GUADALAJARA NEURONAL TYPE			836615
Number Sign	118300	CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS	CHARCOT-MARIE-TOOTH NEUROPATHY AND DEAFNESS, AUTOSOMAL DOMINANT;; CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1E; CMT1E		8241
NULL	118301	CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM			828815
NULL	118330	CHEILITIS GLANDULARIS			836386
NULL	118350	CHEMODECTOMA, INTRAABDOMINAL, WITH CUTANEOUS ANGIOLIPOMAS			836375
Number Sign	118400	CHERUBISM	CRBM		6593
Percent	118420	CHIARI MALFORMATION TYPE I	CM1	CHIARI MALFORMATION TYPE I WITH SYRINGOMYELIA, INCLUDED;; CM1 WITH SYRINGOMYELIA, INCLUDED	574536
NULL	118430	CHLORPROPAMIDE-ALCOHOL FLUSHING; CPAF			836127
Number Sign	118450	ALAGILLE SYNDROME 1; ALGS1	ALAGILLE SYNDROME; ALGS;; ALAGILLE-WATSON SYNDROME; AWS;; CHOLESTASIS WITH PERIPHERAL PULMONARY STENOSIS;; ARTERIOHEPATIC DYSPLASIA; AHD;; HEPATIC DUCTULAR HYPOPLASIA, SYNDROMATIC		6725
Number Sign	118600	CHONDROCALCINOSIS 2; CCAL2	CHONDROCALCINOSIS, FAMILIAL ARTICULAR;; CALCIUM GOUT;; CALCIUM PYROPHOSPHATE ARTHROPATHY;; CALCIUM PYROPHOSPHATE DIHYDRATE DEPOSITION DISEASE; CPPDD		528807
NULL	118610	CHONDROCALCINOSIS DUE TO APATITE CRYSTAL DEPOSITION	FAMILIAL APATITE DISEASE		835601
NULL	118650	CHONDRODYSPLASIA PUNCTATA, AUTOSOMAL DOMINANT		CHONDRODYSPLASIA PUNCTATA DUE TO VITAMIN K DEFICIENCY, INCLUDED;; CHONDRODYSPLASIA PUNCTATA DUE TO WARFARIN TERATOGENICITY, INCLUDED	835572
Percent	118651	CHONDRODYSPLASIA PUNCTATA, TIBIA-METACARPAL TYPE	CHONDRODYSPLASIA PUNCTATA, MT TYPE		835571
NULL	118670	CHONDRONECTIN			830857
Number Sign	118700	CHOREA, BENIGN HEREDITARY; BHC	BCH;; HEREDITARY PROGRESSIVE CHOREA WITHOUT DEMENTIA		7529
NULL	118750	CHOREOATHETOSIS, FAMILIAL INVERTED	INFANTILE CHOREOATHETOSIS OF FISHER		835236
Number Sign	118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1	PAROXYSMAL DYSTONIC CHOREOATHETOSIS; PDC;; CHOREOATHETOSIS, FAMILIAL PAROXYSMAL; FPD1;; MOUNT-REBACK SYNDROME;; CHOREOATHETOSIS, NONKINESIGENIC;; DYSTONIA 8; DYT8		8144
Percent	118830	CHYLOMICRONEMIA, FAMILIAL, DUE TO CIRCULATING INHIBITOR OF LIPOPROTEIN LIPASE	HYPERLIPOPROTEINEMIA, TYPE IC		834891
NULL	118865	CHOROIDAL OSTEOMA, BILATERAL			834848
NULL	118900	CIRRHOSIS, FAMILIAL			843432
NULL	118980	CLAVICLE, PSEUDARTHROSIS OF, CONGENITAL			834476
Percent	119000	CLEFT CHIN	CHIN DIMPLE		828469
Percent	119100	SPLIT-HAND/FOOT MALFORMATION WITH LONG BONE DEFICIENCY 1; SHFLD1	SPLIT-HAND/FOOT MALFORMATION WITH LONG BONE DEFICIENCY; SHFLD;; CLEFT HAND AND ABSENT TIBIA;; APLASIA OF TIBIA WITH ECTRODACTYLY;; TIBIAL APLASIA WITH SPLIT-HAND/SPLIT-FOOT DEFORMITY;; ECTRODACTYLY WITH APLASIA OF LONG BONES		634967
Number Sign	119300	VAN DER WOUDE SYNDROME 1; VWS1	VDWS;; LIP-PIT SYNDROME; LPS; PIT;; CLEFT LIP AND/OR PALATE WITH MUCOUS CYSTS OF LOWER LIP		6730
Number Sign	119500	POPLITEAL PTERYGIUM SYNDROME; PPS	CLEFT LIP/PALATE, PARAMEDIAN MUCOUS CYSTS OF THE LOWER LIP, POPLITEAL PTERYGIUM, DIGITAL AND GENITAL ANOMALIES;; FACIOGENITOPOPLITEAL SYNDROME		7675
Percent	119530	OROFACIAL CLEFT 1; OFC1	CLEFT LIP WITH OR WITHOUT CLEFT PALATE, NONSYNDROMIC, 1;; OROFACIAL CLEFT, NONSYNDROMIC; OFC;; CLEFT LIP/PALATE, NONSYNDROMIC		70495
Percent	119540	CLEFT PALATE, ISOLATED; CPI	CLEFT PALATE; CP		70554
Percent	119550	SYNGNATHIA	CLEFT PALATE-LATERAL SYNECHIA SYNDROME;; CPLS SYNDROME		631083
NULL	119570	CLEFT SOFT PALATE			631621
Number Sign	119580	BLEPHAROCHEILODONTIC SYNDROME 1; BCDS1	BLEPHAROCHEILODONTIC SYNDROME; BCDS;; BCD SYNDROME;; CLEFTING, ECTROPION, AND CONICAL TEETH;; ECTROPION, INFERIOR, WITH CLEFT LIP AND/OR PALATE;; ELSCHNIG SYNDROME;; LAGOPHTHALMIA WITH BILATERAL CLEFT LIP AND PALATE		631560
Number Sign	119600	CLEIDOCRANIAL DYSPLASIA; CCD	CLEIDOCRANIAL DYSOSTOSIS; CLCD	CLEIDOCRANIAL DYSPLASIA, FORME FRUSTE, WITH BRACHYDACTYLY, INCLUDED;; CLEIDOCRANIAL DYSPLASIA, FORME FRUSTE, DENTAL ANOMALIES ONLY, INCLUDED	8298
NULL	119650	CLEIDORHIZOMELIC SYNDROME			827127
Number Sign	119800	CLUBFOOT, CONGENITAL, WITH OR WITHOUT DEFICIENCY OF LONG BONES AND/OR MIRROR-IMAGE POLYDACTYLY; CCF			539110
Number Sign	119900	DIGITAL CLUBBING, ISOLATED CONGENITAL	CLUBBING OF DIGITS;; ACROPACHY, HEREDITARY		514263
Percent	119915	CLUSTER HEADACHE, FAMILIAL			826293
NULL	120000	COARCTATION OF AORTA			847854
NULL	120040	COCHLEOSACCULAR DEGENERATION WITH PROGRESSIVE CATARACTS			847794
Percent	120050	COXSACKIEVIRUS B3 SUSCEPTIBILITY; CXB3S	CB3S		830484
Number Sign	120080	COLCHICINE RESISTANCE	COLCHICINE SENSITIVITY; CLCS		533345
Number Sign	120100	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1; FCAS1	FCAS;; COLD HYPERSENSITIVITY;; COLD-INDUCED AUTOINFLAMMATORY SYNDROME, FAMILIAL;; COLD URTICARIA, FAMILIAL; FCU;; CRYOPYRIN-ASSOCIATED PERIODIC SYNDROME 1; CAPS1		521310
Number Sign	120200	COLOBOMA, OCULAR, AUTOSOMAL DOMINANT	COLOBOMA, UVEORETINAL;; COLOBOMA OF IRIS, CHOROID, AND RETINA; COI		636364
Percent	120300	COLOBOMA OF MACULA	AGENESIS OF MACULA		638395
