prefix	MIM_number	preferred_title	alternative_title	symbols
Number Sign	109400	BASAL CELL NEVUS SYNDROME; BCNS	GORLIN SYNDROME;; GORLIN-GOLTZ SYNDROME;; NEVOID BASAL CELL CARCINOMA SYNDROME; NBCCS;; MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES	
Percent	109500	BASILAR IMPRESSION, PRIMARY		
NULL	109540	B-CELL GROWTH FACTOR; BCGF	B-CELL GROWTH FACTOR 1; BCGF1	
Percent	109543	LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2	CLLS2;; B-CELL MALIGNANCY, LOW-GRADE;; DISRUPTED IN B-CELL MALIGNANCY; DBM;; LEUKEMIA, CHRONIC LYMPHOCYTIC, B-CELL; BCLL	
NULL	109600	BEETURIA	BETACYANINURIA	
Percent	109650	BEHCET SYNDROME	BEHCET DISEASE; BD	
Percent	109660	BETA-AMINO ACIDS, RENAL TRANSPORT OF; AABT	TAURINE RENAL REABSORPTION	
NULL	109670	BETA-ADRENERGIC STIMULATION, RESPONSE TO; BAS		
Percent	109720	BILIARY CIRRHOSIS, PRIMARY, 1; PBC1	PBC	
Number Sign	109730	AORTIC VALVE DISEASE 1; AOVD1	AORTIC VALVE DISEASE;; BICUSPID AORTIC VALVE; BAV;; AORTIC VALVE, BICUSPID;; AORTIC VALVE, CALCIFICATION OF;; AORTIC STENOSIS, CALCIFIC	
NULL	109740	BIFID NOSE, AUTOSOMAL DOMINANT		
Number Sign	109800	BLADDER CANCER		
NULL	109820	BLADDER DIVERTICULUM		
NULL	109900	BLEPHAROCHALASIS AND DOUBLE LIP	ASCHER SYNDROME	
NULL	110000	BLEPHAROCHALASIS, SUPERIOR		
NULL	110050	BLEPHARONASOFACIAL MALFORMATION SYNDROME	PASHAYAN SYNDROME	
Number Sign	110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES		BPES, TYPE I, INCLUDED;; BPES, TYPE II, INCLUDED;; BPES WITH OVARIAN FAILURE, INCLUDED;; BPES WITHOUT OVARIAN FAILURE, INCLUDED;; BPES WITH DUANE RETRACTION SYNDROME, INCLUDED;; BPES, TYPE I, AUTOSOMAL RECESSIVE, INCLUDED
NULL	110150	BLEPHAROPTOSIS, MYOPIA, AND ECTOPIA LENTIS		
NULL	110250	BLOOD GROUP--ABO SUPPRESSOR		
NULL	110310	BLOOD GROUP--ABH ANTIGEN, TYPE 2		
Percent	110350	BLOOD GROUP--AHONEN; AN		
Number Sign	110450	BLOOD GROUP--COLTON; CO		
Number Sign	110500	BLOOD GROUP--DIEGO SYSTEM; DI	DIEGO BLOOD GROUP	
Number Sign	110700	BLOOD GROUP, DUFFY SYSTEM; FY	DUFFY BLOOD GROUP SYSTEM	PLASMODIUM VIVAX, RESISTANCE TO, INCLUDED
NULL	110720	BLOOD GROUP--En		
Number Sign	110800	BLOOD GROUP, I SYSTEM; Ii	I BLOOD GROUP SYSTEM;; Ii BLOOD GROUP SYSTEM	ADULT i PHENOTYPE, INCLUDED
Number Sign	110900	BLOOD GROUP--KELL SYSTEM; KEL	BLOOD GROUP--KELL-CELLANO SYSTEM	KELL-NULL, INCLUDED;; K(0), INCLUDED;; Ko, INCLUDED
Number Sign	111000	BLOOD GROUP--KIDD SYSTEM; JK		
Percent	111130	BLOOD GROUP--LKE; LKE	BLOOD GROUP--LUKE, FORMERLY	
Number Sign	111150	BLOOD GROUP--LUTHERAN INHIBITOR; INLU	DOMINANT LU (a-b-) PHENOTYPE	
Number Sign	111200	BLOOD GROUP--LUTHERAN SYSTEM; LU		AUBERGER SYSTEM, INCLUDED; AU, INCLUDED
Number Sign	111250	BLOOD GROUP SYSTEM, LANDSTEINER-WIENER; LW	LANDSTEINER-WIENER BLOOD GROUP SYSTEM	
NULL	111360	BLOOD GROUP--NEWFOUNDLAND; NFLD		
Number Sign	111380	BLOOD GROUP--OK; OK		
Number Sign	111400	BLOOD GROUP, P1PK SYSTEM		P(1) PHENOTYPE, INCLUDED;; P(2) PHENOTYPE, INCLUDED;; P1(k) PHENOTYPE, INCLUDED;; P2(k) PHENOTYPE, INCLUDED;; p PHENOTYPE, INCLUDED;; NOR POLYAGGLUTINATION SYNDROME, INCLUDED
Number Sign	111500	BLOOD GROUP--PRIVATE SYSTEMS	ANTIGENIC DETERMINANTS OF LOW FREQUENCY IN THE POPULATION	
Number Sign	111600	BLOOD GROUP, LANGEREIS SYSTEM; LAN		
Number Sign	111620	RADIN BLOOD GROUP ANTIGEN; RD	BLOOD GROUP--RADIN ANTIGEN	
Number Sign	111690	BLOOD GROUP--RHESUS SYSTEM E POLYPEPTIDE; RHE		
Number Sign	111750	BLOOD GROUP--SCIANNA SYSTEM; SC	SCIANNA BLOOD GROUP	
Percent	111800	BLOOD GROUP--STOLTZFUS SYSTEM; Sf		
Percent	112000	BLOOD GROUP--Ul SYSTEM; UL		
Number Sign	112010	BLOOD GROUP--WALDNER TYPE; WD	WALDNER BLOOD GROUP ANTIGEN	
Number Sign	112050	BLOOD GROUP--WRIGHT ANTIGEN; WR	WRIGHT BLOOD GROUP ANTIGEN	
Number Sign	112100	YT BLOOD GROUP ANTIGEN	CARTWRIGHT ANTIGEN	
Percent	112200	BLUE RUBBER BLEB NEVUS	BEAN SYNDROME	
Number Sign	112240	COLE-CARPENTER SYNDROME 1; CLCRP1	BONE FRAGILITY WITH CRANIOSYNOSTOSIS, OCULAR PROPTOSIS, HYDROCEPHALUS, AND DISTINCTIVE FACIAL FEATURES	
Number Sign	112250	DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA; DMSMFH	BONE DYSPLASIA WITH MEDULLARY FIBROSARCOMA; BDMF;; BONE DYSPLASIA WITH MALIGNANT FIBROUS HISTIOCYTOMA;; MYOPATHY, LIMB-GIRDLE, WITH BONE FRAGILITY	
NULL	112270	BONE PAIN, PERIODIC		
Percent	112300	BOOK SYNDROME	PHC SYNDROME	
Number Sign	112310	BOOMERANG DYSPLASIA		
Percent	112350	WEISMANN-NETTER SYNDROME; WNS	BOWING OF LEGS, ANTERIOR, WITH DWARFISM;; TOXOPACHYOSTEOSE DIAPHYSAIRE TIBIO-PERONIERE	
NULL	112370	BRACHMANN-DE LANGE-LIKE FACIAL CHANGES WITH MICROCEPHALY, METATARSUS ADDUCTUS, AND DEVELOPMENTAL DELAY		
Number Sign	112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB	BRACHYDACTYLY WITH HYPERTENSION;; BRACHYDACTYLY, TYPE E, WITH SHORT STATURE AND HYPERTENSION;; BILGINTURAN SYNDROME	
NULL	112430	LONG-THUMB BRACHYDACTYLY SYNDROME	BRACHYDACTYLY, LONG-THUMB TYPE	
Percent	112440	BRACHYDACTYLY, COMBINED B AND E TYPES	PITT-WILLIAMS BRACHYDACTYLY;; BRACHYDACTYLY, BALLARD TYPE	
NULL	112450	BRACHYDACTYLY, PREAXIAL, WITH HALLUX VARUS AND THUMB ABDUCTION	CHRISTIAN BRACHYDACTYLY	
Number Sign	112500	BRACHYDACTYLY, TYPE A1; BDA1	FARABEE-TYPE BRACHYDACTYLY	
Number Sign	112600	BRACHYDACTYLY, TYPE A2; BDA2	BRACHYMESOPHALANGY II;; MOHR-WRIEDT TYPE BRACHYDACTYLY	
Percent	112700	BRACHYDACTYLY, TYPE A3; BDA3	BRACHYMESOPHALANGY V;; BRACHYDACTYLY-CLINODACTYLY	
Percent	112800	BRACHYDACTYLY, TYPE A4; BDA4	BRACHYMESOPHALANGY II AND V;; TEMTAMY TYPE BRACHYDACTYLY	
NULL	112910	OSEBOLD-REMONDINI SYNDROME	BRACHYMESOPHALANGY WITH MESOMELIC SHORT LIMBS AND CARPAL AND TARSAL OSSEOUS ABNORMALITIES;; BRACHYDACTYLY, TYPE A6; BDA6	
Number Sign	113000	BRACHYDACTYLY, TYPE B1; BDB1	BRACHYDACTYLY, TYPE B; BDB	
Number Sign	113100	BRACHYDACTYLY, TYPE C; BDC	BRACHYDACTYLY, HAWS TYPE	
Number Sign	113200	BRACHYDACTYLY, TYPE D; BDD	STUB THUMB	
Number Sign	113300	BRACHYDACTYLY, TYPE E1; BDE1	BRACHYDACTYLY, TYPE E; BDE	
NULL	113301	BRACHYDACTYLY, TYPE E, WITH ATRIAL SEPTAL DEFECT, TYPE II		
NULL	113310	BRACHYDACTYLY-ECTRODACTYLY WITH FIBULAR APLASIA OR HYPOPLASIA		
NULL	113400	BRACHYDACTYLY-NYSTAGMUS-CEREBELLAR ATAXIA		
NULL	113450	BRACHYDACTYLY-DISTAL SYMPHALANGISM SYNDROME		
NULL	113470	BRACHYMESOMELIA-RENAL SYNDROME		
NULL	113475	BRACHYMETATARSUS IV	METATARSUS IV, SHORT;; TOE, FOURTH, SHORT	
NULL	113477	BRACHYMORPHISM-ONYCHODYSPLASIA-DYSPHALANGISM SYNDROME	BOD SYNDROME	
NULL	113480	BRACHYTELEPHALANGY WITH CHARACTERISTIC FACIES AND KALLMANN SYNDROME		
Number Sign	113500	BRACHYOLMIA TYPE 3; BCYM3	BRACHYOLMIA, AUTOSOMAL DOMINANT;; BRACHYRACHIA	
NULL	113600	BRANCHIAL CLEFT ANOMALIES		BRANCHIAL CYSTS, INCLUDED
NULL	113610	BRANCHIAL MYOCLONUS WITH SPASTIC PARAPARESIS AND CEREBELLAR ATAXIA		
Number Sign	113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS	BOF SYNDROME;; BRANCHIAL CLEFTS WITH CHARACTERISTIC FACIES, GROWTH RETARDATION, IMPERFORATE NASOLACRIMAL DUCT, AND PREMATURE AGING;; HEMANGIOMATOUS BRANCHIAL CLEFTS-LIP PSEUDOCLEFT SYNDROME;; LIP PSEUDOCLEFT-HEMANGIOMATOUS BRANCHIAL CYST SYNDROME	
Number Sign	113650	BRANCHIOOTORENAL SYNDROME 1; BOR1	BRANCHIOOTORENAL DYSPLASIA;; MELNICK-FRASER SYNDROME	
Percent	113670	HYPERTROPHY OF THE BREAST, JUVENILE; JHB	GIGANTOMASTIA, JUVENILE	
Percent	113700	BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 1; BNAH1	AMASTIA;; ATHELIA;; AMAZIA	
Number Sign	113750	ALBINISM, OCULOCUTANEOUS, TYPE VI; OCA6		SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 4, INCLUDED; SHEP4, INCLUDED;; SKIN/HAIR/EYE PIGMENTATION 4, FAIR/DARK SKIN, INCLUDED
Number Sign	113800	EPIDERMOLYTIC HYPERKERATOSIS; EHK	BULLOUS ERYTHRODERMA ICHTHYOSIFORMIS CONGENITA OF BROCQ;; BULLOUS CONGENITAL ICHTHYOSIFORM ERYTHRODERMA; BCIE;; BULLOUS ICHTHYOSIFORM ERYTHRODERMA; BIE;; EPIDERMOLYTIC ICHTHYOSIS	EPIDERMOLYTIC HYPERKERATOSIS, LATE-ONSET, INCLUDED
Number Sign	113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	PFHBIA;; HEART BLOCK, PROGRESSIVE FAMILIAL, TYPE I; PFHBI;; LENEGRE-LEV DISEASE;; CARDIAC CONDUCTION DEFECT, PROGRESSIVE; PCCD;; BUNDLE BRANCH BLOCK;; HEREDITARY BUNDLE BRANCH SYSTEM DEFECT; HBBD	HEART BLOCK, NONPROGRESSIVE, INCLUDED;; CARDIAC CONDUCTION DEFECT, NONPROGRESSIVE, INCLUDED
Percent	113950	BUNDLE BRANCH BLOCK, FAMILIAL ISOLATED COMPLETE RIGHT		
NULL	113960	BUTYRYLESTERASE 1		
Number Sign	113970	BURKITT LYMPHOMA; BL		
Number Sign	114000	CAFFEY DISEASE	INFANTILE CORTICAL HYPEROSTOSIS	
NULL	114030	CAFE-AU-LAIT SPOTS, MULTIPLE		
NULL	114065	CALCIFIC AORTIC DISEASE WITH IMMUNOLOGIC ABNORMALITIES, FAMILIAL		
Percent	114100	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, CHILDHOOD-ONSET	IBGC, CHILDHOOD-ONSET;; STRIOPALLIDODENTATE CALCINOSIS, BILATERAL, CHILDHOOD-ONSET;; CEREBRAL CALCIFICATION, NONARTERIOSCLEROTIC, IDIOPATHIC, CHILDHOOD-ONSET	
Percent	114140	CALLOSITIES, HEREDITARY PAINFUL	CALLOSITIES, PAINFUL PLANTAR	
Percent	114150	CAMPTOBRACHYDACTYLY		
Percent	114200	CAMPTODACTYLY 1; CAMPD1	CAMPTODACTYLY AND KNUCKLE PADS	STREBLODACTYLY, INCLUDED
Number Sign	114290	CAMPOMELIC DYSPLASIA	CMPD;; CMD1; CMPD1;; CMPD1/SRA1	CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL, INCLUDED;; ACAMPOMELIC CAMPOMELIC DYSPLASIA, INCLUDED;; ACAMPOMELIC CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL, INCLUDED;; CAMPTOMELIC DYSPLASIA, INCLUDED
Number Sign	114300	ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3	GORDON SYNDROME;; ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA;; CAMPTODACTYLY, CLEFT PALATE, AND CLUBFOOT	
NULL	114450	CANCER, FAMILIAL, WITH IN VITRO RADIORESISTANCE		
Number Sign	114480	BREAST CANCER	BREAST CANCER, FAMILIAL	BREAST CANCER, FAMILIAL MALE, INCLUDED
Number Sign	114500	COLORECTAL CANCER; CRC	COLON CANCER	
Number Sign	114550	HEPATOCELLULAR CARCINOMA	HCC;; CANCER, HEPATOCELLULAR;; LIVER CANCER;; LIVER CELL CARCINOMA; LCC;; HEPATOMA	HEPATOBLASTOMA, INCLUDED;; HEPATOBLASTOMA CAUSED BY SOMATIC MUTATION, INCLUDED
Percent	114580	CANDIDIASIS, FAMILIAL, 1; CANDF1	CANDIDIASIS, FAMILIAL CHRONIC MUCOCUTANEOUS, AUTOSOMAL DOMINANT, WITH OR WITHOUT THYROID DISEASE;; CMCT	
Percent	114600	CANINE TEETH, ABSENCE OF UPPER PERMANENT		
NULL	114620	CRANIOFACIOFRONTODIGITAL SYNDROME	CANTU CRANIOFACIOFRONTODIGITAL SYNDROME	
NULL	114650	CAR FACTOR DEFICIENCY		
NULL	114700	CARABELLI ANOMALY OF MAXILLARY MOLAR TEETH		
Number Sign	114900	CARCINOID TUMORS, INTESTINAL		
NULL	115000	CARDIAC ARRHYTHMIA	EXTRASYSTOLES	
Number Sign	115080	CARDIAC CONDUCTION DEFECT		SUDDEN CARDIAC DEATH, INCLUDED; SCD, INCLUDED;; FAMILIAL SUDDEN DEATH, INCLUDED
Number Sign	115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1	CFC SYNDROME;; CFCS	
Number Sign	115195	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2; CMH2		
Number Sign	115196	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3; CMH3		
Number Sign	115197	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4		CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4, SUSCEPTIBILITY TO, INCLUDED
Number Sign	115200	CARDIOMYOPATHY, DILATED, 1A; CMD1A	CARDIOMYOPATHY, DILATED, WITH CONDUCTION DEFECT 1; CDCD1;; CARDIOMYOPATHY, IDIOPATHIC DILATED;; CARDIOMYOPATHY, FAMILIAL IDIOPATHIC;; CARDIOMYOPATHY, CONGESTIVE	
Number Sign	115210	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1; RCM1	RCM	
NULL	115250	COLLAGENOMA, FAMILIAL CUTANEOUS		
Number Sign	115300	HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT		CAROTENOIDS, PLASMA LEVEL OF, QUANTITATIVE TRAIT LOCUS 1, INCLUDED
Number Sign	115310	PARAGANGLIOMAS 4; PGL4	CAROTID BODY TUMORS AND MULTIPLE EXTRAADRENAL PHEOCHROMOCYTOMAS;; PHEOCHROMOCYTOMA, EXTRAADRENAL, AND CERVICAL PARAGANGLIOMA;; PARAGANGLIOMAS, HEREDITARY EXTRAADRENAL;; PHEOCHROMOCYTOMA, FAMILIAL EXTRAADRENAL;; PARAGANGLIOMA, FAMILIAL MALIGNANT	
NULL	115400	CARPAL DISPLACEMENT	CARPAL BOSSING	
Number Sign	115430	CARPAL TUNNEL SYNDROME; CTS1	CTS;; AMYOTROPHY, THENAR, OF CARPAL ORIGIN	
Number Sign	115470	CAT EYE SYNDROME; CES	SCHMID-FRACCARO SYNDROME;; CHROMOSOME 22 PARTIAL TETRASOMY;; INV DUP(22)(q11)	
NULL	115645	CATARACT, ABERRANT ORAL FRENULA, AND GROWTH RETARDATION		
Percent	115650	CATARACT 32, MULTIPLE TYPES; CTRCT32	CATARACT, ANTERIOR POLAR, 1; CTAA1;; CATARACT, ANTERIOR POLAR; CAP;; CATARACT, POSTERIOR POLAR, 5; CTPP5	
Percent	115660	CATARACT 7; CTRCT7	CATARACT 7, CERULEAN TYPE;; CATARACT, CONGENITAL, CERULEAN TYPE, 1; CCA1	
Percent	115665	CATARACT 8, MULTIPLE TYPES; CTRCT8	CATARACT, CONGENITAL, VOLKMANN TYPE; CCV	
Number Sign	115700	CATARACT 4, MULTIPLE TYPES; CTRCT4	CATARACT 4, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;; CATARACT, CRYSTALLINE ACULEIFORM; CACA;; CATARACT, CONGENITAL, CERULEAN TYPE, 3; CCA3;; CATARACT, NONNUCLEAR POLYMORPHIC CONGENITAL; PCC;; CATARACT, PUNCTATE, PROGRESSIVE JUVENILE-ONSET	
Percent	115800	CATARACT 29; CTRCT29	CATARACT 29, CORALLIFORM	
Number Sign	115900	CATARACT 42; CTRCT42		
Number Sign	116100	CATARACT 20, MULTIPLE TYPES; CTRCT20		
Number Sign	116200	CATARACT 1, MULTIPLE TYPES; CTRCT1	CATARACT 1, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;; CATARACT, DUFFY-LINKED;; CATARACT, ZONULAR PULVERULENT, 1; CZP1; CZP; CAE1	
Number Sign	116300	CATARACT 30, MULTIPLE TYPES; CTRCT30		
Number Sign	116400	CATARACT 41; CTRCT41	CATARACT 41, CONGENITAL NUCLEAR TYPE	
Number Sign	116600	CATARACT 6, MULTIPLE TYPES; CTRCT6	CATARACT, POSTERIOR POLAR, 1; CTPP1;; CATARACT, AGE-RELATED CORTICAL, 2; ARCC2	
Number Sign	116700	CATARACT 13 WITH ADULT i PHENOTYPE; CTRCT13		
Number Sign	116800	CATARACT 5, MULTIPLE TYPES; CTRCT5	CATARACT, LAMELLAR;; CATARACT, MARNER TYPE; CAM; CTM	
NULL	116850	CATATRICHY	FORELOCK	
Number Sign	116860	CEREBRAL CAVERNOUS MALFORMATIONS; CCM	CAVERNOUS ANGIOMA, FAMILIAL;; CAVERNOUS ANGIOMATOUS MALFORMATIONS; CAM;; CEREBRAL CAPILLARY MALFORMATIONS	CEREBRAL CAVERNOUS MALFORMATIONS 1, INCLUDED; CCM1, INCLUDED;; CAVERNOUS MALFORMATIONS OF CNS AND RETINA, INCLUDED;; HYPERKERATOTIC CUTANEOUS CAPILLARY-VENOUS MALFORMATIONS ASSOCIATED WITH CEREBRAL CAPILLARY MALFORMATIONS, INCLUDED
NULL	116870	CELIAC ARTERY STENOSIS FROM COMPRESSION BY MEDIAN ARCUATE LIGAMENT OF DIAPHRAGM		
Number Sign	116920	LEUKOCYTE ADHESION DEFICIENCY, TYPE I; LAD	LAD1;; LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN 1 IMMUNODEFICIENCY;; LFA1 IMMUNODEFICIENCY	
NULL	116950	TEMPERATURE-SENSITIVE AF8 COMPLEMENT; AF8T	CELL CYCLE CONTROLLER, G1	
Number Sign	117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	CCO	MINICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED;; MULTICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED;; MULTIMINICORE DISEASE, MODERATE, WITH HAND INVOLVEMENT, INCLUDED;; NEUROMUSCULAR DISEASE, CONGENITAL, WITH UNIFORM TYPE 1 FIBER, INCLUDED; CNMDU1, INCLUDED
Percent	117100	CENTRALOPATHIC EPILEPSY	CENTROTEMPORAL EPILEPSY; ECT;; TEMPORAL-CENTRAL FOCAL EPILEPSY;; BENIGN ROLANDIC EPILEPSY;; BENIGN EPILEPSY OF CHILDHOOD WITH CENTROTEMPORAL SPIKES; BECTS	
Number Sign	117210	SPINOCEREBELLAR ATAXIA 31; SCA31	SPINOCEREBELLAR ATAXIA, 16q22-LINKED	
Number Sign	117300	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 2	DEMENTIA, FAMILIAL DANISH; FDD;; FAMILIAL DANISH DEMENTIA;; CEREBELLAR ATAXIA, CATARACT, DEAFNESS, AND DEMENTIA OR PSYCHOSIS;; HEREDOPATHIA OPHTHALMOOTOENCEPHALICA; HOOE	
Number Sign	117360	SPINOCEREBELLAR ATAXIA 29; SCA29	CEREBELLAR ATAXIA, CONGENITAL NONPROGRESSIVE, AUTOSOMAL DOMINANT; CNPCA;; CEREBELLAR VERMIS APLASIA;; APLASIA OF CEREBELLAR VERMIS; ACV	
Number Sign	117550	SOTOS SYNDROME 1; SOTOS1	SOTOS SYNDROME;; CEREBRAL GIGANTISM;; CHROMOSOME 5q35 DELETION SYNDROME	
NULL	117600	CEREBRAL SARCOMA		
Number Sign	117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS	RIB GAP DEFECTS WITH MICROGNATHIA	
Number Sign	117800	APOCRINE GLAND SECRETION, VARIATION IN	EAR WAX, WET/DRY; EWWD;; WET WAX; WW;; CERUMEN, VARIATION IN;; AXILLARY ODOR, VARIATION IN;; COLOSTRUM SECRETION, VARIATION IN	
NULL	117850	CERVICAL HYPERTRICHOSIS WITH UNDERLYING KYPHOSCOLIOSIS	HYPERTRICHOSIS, POSTERIOR CERVICAL, WITH UNDERLYING KYPHOSCOLIOSIS	
NULL	117900	CERVICAL RIB		
NULL	118000	CERVICAL VERTEBRAL BRIDGE		
NULL	118005	CERVICAL VERTEBRAL DYSPLASIA		
Number Sign	118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT; KFS1	KFS;; CERVICAL VERTEBRAL FUSION, AUTOSOMAL DOMINANT	
Number Sign	118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B	HEREDITARY MOTOR AND SENSORY NEUROPATHY I; HMSN I;; HEREDITARY MOTOR AND SENSORY NEUROPATHY IB; HMSN IB;; HMSN1;; HMSN1B;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 1B;; CHARCOT-MARIE-TOOTH DISEASE, SLOW NERVE CONDUCTION TYPE, LINKED TO DUFFY;; PERONEAL MUSCULAR ATROPHY;; CHARCOT-MARIE-TOOTH DISEASE, AUTOSOMAL DOMINANT, WITH FOCALLY FOLDED MYELIN SHEATHS, TYPE 1B	
Number Sign	118210	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1; CMT2A1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2A1;; CHARCOT-MARIE-TOOTH DISEASE, NEURONAL, TYPE 2A1;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2A1;; HEREDITARY MOTOR AND SENSORY NEUROPATHY IIA1;; HMSN IIA1;; HMSN2A1	
Number Sign	118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A	HEREDITARY MOTOR AND SENSORY NEUROPATHY IA; HMSN IA;; HMSN1A;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 1A;; CHARCOT-MARIE-TOOTH DISEASE, AUTOSOMAL DOMINANT, WITH FOCALLY FOLDED MYELIN SHEATHS, TYPE 1A	
NULL	118230	CHARCOT-MARIE-TOOTH DISEASE, GUADALAJARA NEURONAL TYPE		
Number Sign	118300	CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS	CHARCOT-MARIE-TOOTH NEUROPATHY AND DEAFNESS, AUTOSOMAL DOMINANT;; CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1E; CMT1E	
NULL	118301	CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM		
NULL	118330	CHEILITIS GLANDULARIS		
NULL	118350	CHEMODECTOMA, INTRAABDOMINAL, WITH CUTANEOUS ANGIOLIPOMAS		
Number Sign	118400	CHERUBISM	CRBM	
Percent	118420	CHIARI MALFORMATION TYPE I	CM1	CHIARI MALFORMATION TYPE I WITH SYRINGOMYELIA, INCLUDED;; CM1 WITH SYRINGOMYELIA, INCLUDED
NULL	118430	CHLORPROPAMIDE-ALCOHOL FLUSHING; CPAF		
Number Sign	118450	ALAGILLE SYNDROME 1; ALGS1	ALAGILLE SYNDROME; ALGS;; ALAGILLE-WATSON SYNDROME; AWS;; CHOLESTASIS WITH PERIPHERAL PULMONARY STENOSIS;; ARTERIOHEPATIC DYSPLASIA; AHD;; HEPATIC DUCTULAR HYPOPLASIA, SYNDROMATIC	
Number Sign	118600	CHONDROCALCINOSIS 2; CCAL2	CHONDROCALCINOSIS, FAMILIAL ARTICULAR;; CALCIUM GOUT;; CALCIUM PYROPHOSPHATE ARTHROPATHY;; CALCIUM PYROPHOSPHATE DIHYDRATE DEPOSITION DISEASE; CPPDD	
NULL	118610	CHONDROCALCINOSIS DUE TO APATITE CRYSTAL DEPOSITION	FAMILIAL APATITE DISEASE	
NULL	118650	CHONDRODYSPLASIA PUNCTATA, AUTOSOMAL DOMINANT		CHONDRODYSPLASIA PUNCTATA DUE TO VITAMIN K DEFICIENCY, INCLUDED;; CHONDRODYSPLASIA PUNCTATA DUE TO WARFARIN TERATOGENICITY, INCLUDED
Percent	118651	CHONDRODYSPLASIA PUNCTATA, TIBIA-METACARPAL TYPE	CHONDRODYSPLASIA PUNCTATA, MT TYPE	
NULL	118670	CHONDRONECTIN		
Number Sign	118700	CHOREA, BENIGN HEREDITARY; BHC	BCH;; HEREDITARY PROGRESSIVE CHOREA WITHOUT DEMENTIA	
NULL	118750	CHOREOATHETOSIS, FAMILIAL INVERTED	INFANTILE CHOREOATHETOSIS OF FISHER	
Number Sign	118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1	PAROXYSMAL DYSTONIC CHOREOATHETOSIS; PDC;; CHOREOATHETOSIS, FAMILIAL PAROXYSMAL; FPD1;; MOUNT-REBACK SYNDROME;; CHOREOATHETOSIS, NONKINESIGENIC;; DYSTONIA 8; DYT8	
Percent	118830	CHYLOMICRONEMIA, FAMILIAL, DUE TO CIRCULATING INHIBITOR OF LIPOPROTEIN LIPASE	HYPERLIPOPROTEINEMIA, TYPE IC	
Percent	118840	CHROMATE RESISTANCE; CHR		
NULL	118865	CHOROIDAL OSTEOMA, BILATERAL		
NULL	118900	CIRRHOSIS, FAMILIAL		
NULL	118943	CHYMOSIN PSEUDOGENE; CYMP		PROCHYMOSIN, INCLUDED
NULL	118980	CLAVICLE, PSEUDARTHROSIS OF, CONGENITAL		
Percent	119000	CLEFT CHIN	CHIN DIMPLE	
